t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.1314	-4.78399	-4.57988	-4.95506
-3.1312	-4.78455	-4.57942	-4.95501
-3.131	-4.78515	-4.57911	-4.95537
-3.1308	-4.78564	-4.5788	-4.95541
-3.1306	-4.78603	-4.5786	-4.95528
-3.1304	-4.78605	-4.57825	-4.95478
-3.1302	-4.78643	-4.57808	-4.95406
-3.13	-4.78665	-4.57815	-4.95326
-3.1298	-4.78692	-4.57812	-4.95254
-3.1296	-4.7871	-4.57812	-4.95196
-3.1294	-4.78727	-4.57814	-4.95131
-3.1292	-4.78711	-4.57834	-4.95047
-3.129	-4.78686	-4.57897	-4.9498
-3.1288	-4.78656	-4.57933	-4.94903
-3.1286	-4.78611	-4.57965	-4.94844
-3.1284	-4.78557	-4.57991	-4.948
-3.1282	-4.78501	-4.58027	-4.94797
-3.128	-4.78434	-4.58074	-4.94811
-3.1278	-4.78393	-4.58099	-4.94821
-3.1276	-4.78348	-4.58122	-4.94835
-3.1274	-4.78306	-4.58179	-4.94837
-3.1272	-4.78271	-4.58247	-4.9484
-3.127	-4.7823	-4.58318	-4.94857
-3.1268	-4.78207	-4.58371	-4.94865
-3.1266	-4.78236	-4.58384	-4.94895
-3.1264	-4.78262	-4.58397	-4.94901
-3.1262	-4.78287	-4.58414	-4.94919
-3.126	-4.78295	-4.58419	-4.94943
-3.1258	-4.78316	-4.58438	-4.94956
-3.1256	-4.78333	-4.58473	-4.94966
-3.1254	-4.78335	-4.58497	-4.94981
-3.1252	-4.78348	-4.58519	-4.94986
-3.125	-4.78352	-4.58523	-4.95008
-3.1248	-4.78358	-4.58538	-4.95051
-3.1246	-4.78378	-4.58533	-4.95116
-3.1244	-4.78378	-4.58491	-4.95188
-3.1242	-4.78348	-4.58432	-4.95256
-3.124	-4.78298	-4.58406	-4.95334
-3.1238	-4.78279	-4.58404	-4.95397
-3.1236	-4.78291	-4.58393	-4.95416
-3.1234	-4.78311	-4.58381	-4.95406
-3.1232	-4.78337	-4.58377	-4.95392
-3.123	-4.78362	-4.5838	-4.95394
-3.1228	-4.78378	-4.58364	-4.95398
-3.1226	-4.78399	-4.58346	-4.95392
-3.1224	-4.78413	-4.58358	-4.95395
-3.1222	-4.78425	-4.58375	-4.95386
-3.122	-4.78436	-4.58389	-4.95372
-3.1218	-4.78449	-4.5841	-4.95371
-3.1216	-4.78474	-4.58412	-4.9537
-3.1214	-4.78535	-4.5838	-4.95366
-3.1212	-4.78598	-4.58358	-4.9537
-3.121	-4.7864	-4.58336	-4.95365
-3.1208	-4.78697	-4.58331	-4.9537
-3.1206	-4.78757	-4.58299	-4.95356
-3.1204	-4.78783	-4.58268	-4.9534
-3.1202	-4.78818	-4.58229	-4.95324
-3.12	-4.78849	-4.5818	-4.95299
-3.1198	-4.78892	-4.58137	-4.95268
-3.1196	-4.78936	-4.58075	-4.95252
-3.1194	-4.78949	-4.58007	-4.95223
-3.1192	-4.78932	-4.57947	-4.95195
-3.119	-4.7886	-4.57907	-4.9515
-3.1188	-4.78791	-4.57919	-4.95125
-3.1186	-4.78706	-4.57962	-4.95113
-3.1184	-4.78649	-4.58023	-4.95102
-3.1182	-4.78595	-4.58069	-4.9509
-3.118	-4.78552	-4.5812	-4.95066
-3.1178	-4.78526	-4.58178	-4.9507
-3.1176	-4.78486	-4.58227	-4.9506
-3.1174	-4.78463	-4.5827	-4.95052
-3.1172	-4.78435	-4.58332	-4.95041
-3.117	-4.78411	-4.5839	-4.95046
-3.1168	-4.78398	-4.58458	-4.9506
-3.1166	-4.78356	-4.58511	-4.95065
-3.1164	-4.78371	-4.58534	-4.9506
-3.1162	-4.78399	-4.58526	-4.95063
-3.116	-4.78419	-4.58537	-4.95078
-3.1158	-4.78457	-4.58544	-4.95086
-3.1156	-4.78475	-4.58542	-4.95106
-3.1154	-4.78471	-4.58553	-4.95126
-3.1152	-4.78476	-4.58563	-4.9514
-3.115	-4.78472	-4.58547	-4.95162
-3.1148	-4.78454	-4.58539	-4.95192
-3.1146	-4.78477	-4.58545	-4.95196
-3.1144	-4.78509	-4.58541	-4.95192
-3.1142	-4.78571	-4.58529	-4.95161
-3.114	-4.78616	-4.58531	-4.95087
-3.1138	-4.78614	-4.5856	-4.95026
-3.1136	-4.78608	-4.58618	-4.94986
-3.1134	-4.78603	-4.58661	-4.94973
-3.1132	-4.78607	-4.58694	-4.94999
-3.113	-4.78608	-4.58695	-4.95023
-3.1128	-4.78623	-4.58683	-4.95058
-3.1126	-4.78627	-4.5866	-4.95071
-3.1124	-4.78634	-4.58659	-4.9508
-3.1122	-4.78649	-4.5866	-4.95092
-3.112	-4.78643	-4.58658	-4.95107
-3.1118	-4.7866	-4.58659	-4.95117
-3.1116	-4.78646	-4.58678	-4.95118
-3.1114	-4.7865	-4.58699	-4.95129
-3.1112	-4.7871	-4.58688	-4.95143
-3.111	-4.78788	-4.58642	-4.95153
-3.1108	-4.78852	-4.58636	-4.95153
-3.1106	-4.78904	-4.58616	-4.95157
-3.1104	-4.78943	-4.58587	-4.95128
-3.1102	-4.78979	-4.58551	-4.95097
-3.11	-4.78993	-4.58523	-4.95065
-3.1098	-4.78975	-4.5849	-4.95042
-3.1096	-4.78949	-4.58458	-4.9505
-3.1094	-4.7891	-4.58409	-4.95081
-3.1092	-4.78883	-4.5836	-4.95134
-3.109	-4.78854	-4.58308	-4.95152
-3.1088	-4.78801	-4.58253	-4.95168
-3.1086	-4.78736	-4.58222	-4.95216
-3.1084	-4.78666	-4.5822	-4.95237
